logFC	AveExpr	t	pvalue	padj	dispersion
AT1G01010.1.Hnull	0.462827145328943	1.55963771742774	1.53102749900351	0.202280517814879	0.479006798649319	0.302298388258983
AT1G01020.1.Hnull	-0.0816246690270912	3.2479600136637	-0.324438385392704	0.762253774552277	0.874286497137068	0.251587582425834
AT1G01030.1.Hnull	0.476020415210427	0.367930108580789	0.995807504871496	0.377027438514987	0.62661719033263	0.478024530726804
AT1G01040.2.Hnull	0.192740383065138	5.87016324742564	0.97353867799311	0.386707040892274	0.629918153559072	0.197979173731916
AT1G01046.1.Hnull	0.0483337438539263	-0.786888168137981	0.119392116689361	0.910859094412411	0.96286047202518	0.404831953684873
AT1G01050.1.Hnull	-0.102138476479129	5.85660816716976	-0.523373821951458	0.629030106728322	0.789178607235464	0.195153964900832
AT1G01060.1.Hnull	-2.29325949162782	4.22070486500332	-2.66212517127467	0.0577499754732979	0.243422610068183	0.861439392998103
AT1G01070.1	0.303068262824107	3.17957104028769	1.34201342389383	0.252369386346287	0.531172812216598	0.225831021827457
AT1G01080.2.Hnull	-0.0134706443397441	6.02041229150981	-0.0609824336607105	0.954368846619846	0.976905483183518	0.220893846491779
AT1G01090.1.Hnull	0.0600472800922081	7.32251056978165	0.266137637971902	0.803604122074195	0.899742913693711	0.225624908035547
AT1G01100.1.Hnull	-0.132337581385455	6.53975165518555	-0.668043731691939	0.54154586112074	0.726815019079975	0.19809718302466
AT1G01110.2	-2.46654447811329	2.55857729313011	-5.48129308995041	0.00579808583252075	0.053590018266319	0.449993174536778
AT1G01120.1	0.0280778732578248	6.11173183001328	0.0902605190236641	0.932523489573992	0.966662437637085	0.311075911833207
AT1G01130.1.Hnull	-0.946054498701687	-0.0780247087623559	-2.19386794134084	0.0950060259622435	0.32326436403863	0.431226730139227
AT1G01140.3	1.37244272533336	6.84997510502899	6.61049989355753	0.00296313736540046	0.0361139977082864	0.207615573320093
AT1G01150.1.Hnull	0.0384138937516552	-2.09437862084539	0.0619221241631975	0.953666826172003	0.976547746123985	0.62035813969195
AT1G01160.2.Hnull	0.339186367122197	4.45211378078376	1.51228579502976	0.206760894840869	0.48429021417922	0.224287213592139
AT1G01170.1	-0.0208180395260653	5.40151465682108	-0.105597400693414	0.921107502627317	0.965722804442185	0.197145378478655
AT1G01180.1	3.06407034551117	2.3995351374599	8.66860279831425	0.00108926358633187	0.0219532794873947	0.353467613732057
