FB1	FB2	L1	L2
AT1G01010.1.Hnull	184	52	272	53
AT1G01020.1.Hnull	431	317	338	328
AT1G01030.1	187	316	30	59
AT1G01040.2.Hnull	2672	1614	3033	1672
AT1G01046.1.Hnull	45	10	46	9
AT1G01050.1	3861	2776	3426	2984
AT1G01060.1	11634	716	11963	999
AT1G01070.1.Hnull	531	33	247	27
AT1G01073.1.Hnull	0	0	0	0
AT1G01080.2.Hnull	1921	3186	1554	3488
AT1G01090.1.Hnull	5325	6625	4555	7637
AT1G01100.1.Hnull	2250	6065	1846	5559
AT1G01110.2.Hnull	92	37	92	46
AT1G01115.1.Hnull	0	0	0	0
AT1G01120.1.Hnull	4142	1222	1533	977
AT1G01130.1.Hnull	34	72	16	36
AT1G01140.3.Hnull	7798	2179	5736	1959
AT1G01150.1.Hnull	2	30	2	29
AT1G01160.2	1513	1418	861	1174
AT1G01170.1.Hnull	1551	1470	1472	1392
AT1G01180.1	53	88	568	538
AT1G01183.1.Hnull	0	0	0	0
AT1G01190.1.Hnull	3	295	4	422
AT1G01200.1	164	51	53	14
AT1G01210.1.Hnull	279	230	256	334
AT1G01220.1.Hnull	1308	1252	1095	1281
AT1G01225.1.Hnull	75	83	38	100
AT1G01230.1.Hnull	1008	503	1043	518
AT1G01240.1.Hnull	1301	579	1789	783
AT1G01250.1.Hnull	356	149	221	143
AT1G01260.1	1208	1051	919	1266
AT1G01270.1.Hnull	0	1	0	0
AT1G01280.1.Hnull	1	0	4	0
AT1G01290.1.Hnull	549	272	615	304
AT1G01300.1.Hnull	1264	1999	1355	2575
AT1G01305.1.Hnull	0	0	0	0
AT1G01310.1	908	718	7	4
AT1G01320.1.Hnull	22778	18442	28289	21019
AT1G01340.2.Hnull	486	98	392	78
AT1G01350.1.Hnull	573	409	587	454
AT1G01355.1.Hnull	7	1	16	1
AT1G01360.1.Hnull	1785	364	2154	365
AT1G01370.1	622	356	18	4
AT1G01380.1.Hnull	53	7	45	18
